sentence_id	main_code	definition_id	sentence_order	nan_sentence	nan_tailo	zh_xc	english_via_gpt4_zh_translation
886	813	1128	1	樹木	tshiū-ba̍k		
887	813	1129	1	做木的	tsò-ba̍k--ê	木匠	Carpenter
888	814	1131	1	草木	tshó-bo̍k		
889	814	1131	2	木本	bo̍k-pún		
890	814	1132	1	木材	bo̍k-tsâi		
891	814	1133	1	入木	ji̍p-bo̍k	入殮。將屍體移入棺材	Encoffining. Moving the corpse into the coffin.
892	815	1135	1	你是毋是佇外口有欠人錢？	Lí sī m̄ sī tī guā-kháu ū khiàm lâng tsînn? 	你是不是在外面欠別人錢？	Are you in debt to others outside?
893	815	1136	1	你欠運動，體力才會遮䆀。	Lí khiàm ūn-tōng, thé-la̍t tsiah ē tsiah bái. 	你少運動，體力才會這麼差。	You exercise too little, that's why your physical strength is so poor.
894	816	1137	1	血流袂止	hueh lâu bē tsí	血流不止	The bleeding won't stop.
895	816	1137	2	止疼	tsí-thiànn		
896	816	1138	1	到遮為止	kàu tsia uî tsí	到此為止	Up to this point
897	816	1139	1	伊做這途，不止仔好空。	I tsò tsit tôo, put-tsí-á hó-khang. 	他做這一行，好處多多。	There are many benefits to him doing this job.
898	817	1140	1	咱人歹代誌毋通做。	Lán lâng pháinn tāi-tsì m̄-thang tsò. 	我們人壞事不要做。	We should not do bad things.
899	817	1141	1	阮兜的冷氣昨暝歹去矣！	Guán tau ê líng-khì tsa-mê pháinn--khì--ah! 	我們家的冷氣昨晚壞了！	The air conditioning in our house broke down last night!
900	817	1142	1	你無代無誌歹我創啥？	Lí bô-tāi-bô-tsì pháinn guá tshòng siánn? 	你沒事兇我幹嘛？	Why are you yelling at me for no reason?
901	817	1143	1	落雨天的時陣，這條路就變甲真歹行。	Lo̍h-hōo-thinn ê sî-tsūn, tsit tiâu lōo tō piàn kah tsin pháinn kiânn. 	下雨天的時候，這條路就變得很難走。	When it rains, this road becomes very difficult to walk on.
902	817	1144	1	阿明中晝食歹腹肚，所以下晡就請假轉去。	A-bîng tiong-tàu tsia̍h-pháinn pak-tóo, sóo-í ē-poo tō tshíng-ká tńg--khì. 	阿明中午吃壞肚子，所以下午就請假回家。	Ah Ming had a bad stomach after lunch, so he took the afternoon off and went home.
903	818	1145	1	我毋去。	Guá m̄ khì. 	我不去。	I'm not going.
904	818	1146	1	你講按呢是毋？	Lí kóng án-ne sī--m̄? 	你是不是這樣說？	Did you say that?
905	819	1147	1	彼領褲提來比一下。	Hit niá khòo the̍h lâi pí--tsi̍t-ē. 	那件褲子拿來比一下。	Bring that pair of pants over for comparison.
906	819	1148	1	差濟咧，袂比得。	Tsha tsē--leh, bē-pí--tit. 	差多啦，沒得比。	It's too much, there's no comparison.
907	819	1149	1	用手比較緊。	Iōng tshiú pí khah-kín. 	用手比較快些。	It's faster to use hands.
908	820	1150	1	羊毛	iûnn-mn̂g		
909	820	1151	1	雨毛仔	hōo-mn̂g-á	毛毛雨	Drizzle
910	820	1151	2	苦毛仔	khóo-mn̂g-á	人臉初生的細毛	The fine hair on a newborn's face
911	821	1152	1	手毛	tshiú môo		
912	821	1152	2	羊毛	iûnn-môo		
913	821	1153	1	毛利	môo-lī	只除去成本，未除去其他費用的利潤。	Profit excluding costs, but not excluding other expenses.
914	821	1154	1	毛遂	Môo Suī		
915	822	1155	1	氏族	sī-tso̍k		
916	822	1156	1	王氏	Ông--sī		
917	823	1158	1	囡仔放的屎水水。	Gín-á pàng ê sái tsuí-tsuí. 	小孩子拉的屎水水的。	The child's poop is watery.
918	823	1159	1	頭水豬仔	thâu-tsuí ti-á	成熟母豬所生的第一胎小豬	The first litter of piglets born to a mature sow.
919	824	1160	1	山水	san-suí		
920	824	1161	1	利水	lī suí	利尿	Diuretic
921	825	1162	1	你歹𤆬頭，專門咧教歹囡仔大細。	Lí pháinn-tshuā-thâu, tsuan-bûn teh kà pháinn gín-á-tuā-sè. 	你是一個壞榜樣，專門在教壞所有的小孩子。	You are a bad role model, specifically teaching all the children bad things.
922	827	1164	1	廿一世紀	jia̍p-it sè-kí	二十一世紀	21st Century
923	828	1165	1	𪜶某定定去佮一寡官夫人交際應酬。	In bóo tiānn-tiānn khì kah tsi̍t kuá kuann-hu-jîn kau-tsè ìng-siû. 	他的老婆常常和一些官員的老婆去交際應酬。	His wife often socializes with the wives of some officials.
924	828	1166	1	真久無見面矣，高夫人最近好無？	Tsin kú bô kìnn-bīn--ah, Ko hu-jîn tsuè-kīn hó--bô? 	好久不見了，高太太最近好嗎？	Long time no see, how has Mrs. Gao been recently?
925	831	1169	1	天下太平	thian-hā thài-pîng		
926	833	1171	1	這个作家自少女時代就開始寫作。	Tsit-ê tsok-ka tsū siàu-lú sî-tāi tō khai-sí siá-tsok. 	這位作家自少女時代就開始寫作。	This writer has been writing since her teenage years.
927	834	1173	1	你戶口佇佗位？	Lí hōo-kháu tī tó-uī? 	你的戶籍所在地在哪裡？	Where is your place of household registration?
929	836	1176	1	伊的手工真幼，我的衫上愛予伊做。	I ê tshiú-kang tsin iù, guá ê sann siōng ài hōo i tsò. 	他的手工很細緻，我的衣服最喜歡由他來縫製。	His craftsmanship is very delicate, I prefer my clothes to be sewn by him.
930	836	1177	1	這是手工的麵線。	Tse sī tshiú-kang ê mī-suànn. 	這是手工做的麵線。	This is handmade noodle threads.
931	837	1178	1	日子過了真緊。	Ji̍t-tsí kuè liáu tsin kín. 	時間過得真快。	Time flies really fast.
932	837	1179	1	今仔日的日子是好抑䆀？	Kin-á-ji̍t ê ji̍t-tsí sī hó ia̍h bái? 	今天的日子好不好？指今天在黃曆上有沒有沖剋。	Is today a good day? Specifically, is there any conflict or clash in the lunar calendar today?
933	837	1180	1	日子真歹過。	Ji̍t-tsí tsin pháinn kuè. 	生活真艱困。	Life is really tough.
934	838	1182	1	這个木匠做的木工袂䆀。	Tsit ê ba̍k-tshiūnn tsò ê ba̍k-kang bē-bái. 	這個木工做的工藝品不錯。	The crafts made by this carpenter are not bad.
935	839	1183	1	就是你無來，毋才愛請伊來鬥相共！	Tō sī lí bô lâi, m̄-tsiah ài tshiánn i lâi tàu-sann-kāng! 	因為你沒來，所以才要請他來幫忙！	Because you didn't come, that's why I had to ask him for help!
936	840	1184	1	若水土袂合就真𠢕破病。	Nā tsuí-thóo bē-ha̍h tō tsin gâu phuà-pēnn. 	如果水土不服很容易生病。	If the environment is not suitable, it is easy to get sick.
937	847	1190	1	對天井看出去，拄好會當看著月娘。	Tuì thinn-tsénn khuànn--tshut-khì, tú-hó ē-tàng khuànn tio̍h gue̍h-niû. 	從天井看出去，剛好可以看到月亮。	Looking out from the courtyard, you can just see the moon.
938	847	1191	1	阿母當咧天井內曝被。	A-bú tng leh thinn-tsénn lāi pha̍k phuē. 	媽媽正在天井裡曬被子。	Mom is airing the quilt in the courtyard.
939	848	1192	1	天公疼戇人。	Thinn-kong thiànn gōng-lâng. 	老天爺疼愛老實人。	God loves honest people.
940	850	1194	1	較早的人講，查某人月內若無做好，後擺身體會較䆀。	Khah-tsá ê lâng kóng, tsa-bóo-lâng gue̍h-lāi nā bô tsò hó, āu-pái sin-thé ē khah bái. 	以前人說，女人若在產後沒有把月子做好，以後身體會比較不好。	It was said in the past that if a woman does not take good care of herself during the postpartum period, her health will suffer in the future.
941	852	1196	1	舊曆正月初九是天公生。	Kū-li̍k tsiann gue̍h tshe-káu sī Thinn-kong-senn. 	農曆正月初九是玉皇大帝的誕辰。	The ninth day of the first lunar month is the birthday of the Jade Emperor.
942	856	1200	1	一个某較好三个天公祖。	Tsi̍t ê bóo khah hó sann ê Thinn-kong-tsóo. 	一個好老婆勝過三個老天爺保佑。比喻太太至上之意。	A good wife is better than three blessings from God. This is a metaphor for the supremacy of a wife.
943	857	1201	1	拄才猶咧出日頭，這馬煞咧反天矣。	Tú-tsiah iáu teh tshut ji̍t-thâu, tsit-má suah teh huán-thinn--ah. 	剛剛還出大太陽，現在卻變天了。	The sun was just out a moment ago, but now the weather has changed.
944	861	1206	1	我限你一月日以內，共欠的錢還了。	Guá hān lí tsi̍t gue̍h-ji̍t í-lāi, kā khiàm ê tsînn hîng liáu. 	我給你一個月的時間，把欠的錢還完。	I give you one month to pay back the money you owe.
945	862	1207	1	這幾工攏是歹天。	Tsit kuí kang lóng sī pháinn-thinn. 	這幾天天氣都不好。	The weather has been bad these past few days.
946	863	1208	1	做人毋通遐歹心。	Tsò-lâng m̄-thang hiah pháinn-sim. 	做人心腸不要那麼壞。	Don't be so cruel as a person.
947	864	1210	1	伊真歹手爪，你愛較注意咧。	I tsin pháinn-tshiú-jiáu, lí ài khah tsù-ì--leh. 	他很愛偷竊，你要注意一點。	He loves to steal, you should be careful.
948	865	1211	1	伊看著人攏文文仔笑。	I khuànn tio̍h lâng lóng bûn-bûn-á-tshiò. 	他看到人總是微微笑著。	He always sees people smiling slightly.
949	866	1212	1	準做天反地亂，你嘛袂用得烏白來。	Tsún-tsò thinn-huán-tē-luān, lí mā bē-īng-tit oo-pe̍h lâi. 	就算是天下大亂，你也不能亂來。	Even if the world is in chaos, you cannot act recklessly.
950	870	1216	1	煎魚仔愛會曉反爿。	Tsian-hî-á ài ē hiáu píng-pîng. 	煎魚要會翻面。	You need to flip the fish when frying it.
951	871	1217	1	這件代誌講起來就心火著。	Tsit kiānn tāi-ts kóng--khí-lâi tō sim-hué-to̍h. 	這件事情一說起來就生氣。	I get angry whenever this matter is brought up.
952	872	1218	1	逐家攏知影伊歹手爪。	Ta̍k-ke lóng tsai-iánn i pháinn-tshiú-jiáu. 	大家都知道他的手腳不乾淨，即指有偷竊的惡習。	Everyone knows that his hands are not clean, which means he has a bad habit of stealing.
953	874	1220	1	你去共我買一个酒斗仔。	Lí khì kā guá bé tsi̍t ê tsiú-táu-á. 	你去幫我買一個裝酒的小容器。	Go buy me a small container for holding wine.
954	875	1221	1	勸世歌是咧勸人毋通做歹代的。	Khuàn-sè-kua sī teh khǹg lâng m̄-thang tsò pháinn-tāi--ê. 	勸世歌是在勸人不可以做壞事的。	The Song of Exhortation is about advising people not to do bad things.
955	875	1222	1	好代毋通知，歹代直直來交纏。	Hó tāi m̄ thong-ti, pháinn-tāi ti̍t-ti̍t lâi kau-tînn. 	好事、好消息不來報喜，壞事、壞消息卻一直來糾纏。比喻壞事連連。	Good things, good news don't come to bring joy, but bad things, bad news keep coming to entangle. It's a metaphor for constant misfortunes.
956	879	1226	1	伊愛閣月外日才會轉來。	I ài koh gue̍h-guā-ji̍t tsiah ē tńg--lâi. 	他還要一個多月才會回來。	He won't be back for more than a month.
957	881	1228	1	天下太平。	Thian-hā thài-pîng. 		
958	881	1229	1	逐个人若攏忍一下，就天下太平矣。	Ta̍k ê lâng nā lóng lún--tsi̍t-ē, tō thian-hā thài-pîng--ah. 	若是每個人都能稍微忍耐一下，就會天下太平了。	If everyone could be a little more patient, there would be peace throughout the world.
959	885	1233	1	伊佮阿仁原本感情誠好，近來煞為著生理的代誌反目。	I kah a jîn guân-pún kám-tsîng tsiânn hó, kīn-lâi suah uī tio̍h sing-lí ê tāi-tsì huán-bo̍k. 	他和阿仁本來感情很好，最近卻為了生意的事情不合。	He and Ah Ren originally had a very good relationship, but recently they have been at odds over business matters.
960	888	1236	1	你有欠用就來共我講，我會當借你。	Lí ū khiàm-īng tō lâi kā guá kóng, guá ē-tàng tsioh--lí. 	你缺錢用就來告訴我，我可以借你。	If you are short of money, just tell me, I can lend you some.
961	888	1237	1	遮的物件你若有欠用就提去。	Tsia ê mi̍h-kiānn lí nā ū khiàm-īng tō the̍h--khì. 	這些東西你如果有需要就拿去。	Take these things if you need them.
962	889	1238	1	伊真凍霜，連一屑仔物都毋甘予人。	I tsin tàng-sng, liân tsi̍t-sut-á mi̍h to m̄-kam hōo--lâng. 	他真小氣，連一點東西都捨不得給人。	He is so stingy, he can't even bear to give a little thing to others.
963	889	1239	1	我會真毋甘。	Guá ē tsin m̄-kam. 	我會很難過。	I will be very sad.
964	894	1245	1	是你毋甘嫌啦。	Sī lí m̄-kam hiâm--lah. 	是你不嫌棄啦。	If you don't mind.
965	895	1246	1	伊目睭反白睚，若像欲昏去矣。	I ba̍k-tsiu píng-pe̍h-kâinn, ná tshiūnn beh hūn--khì-ah. 	他眼睛翻白眼，就像要昏過去了。	His eyes rolled back, as if he was about to faint.
966	896	1247	1	無提著冠軍真毋甘願。	Bô the̍h-tio̍h kuan-kun tsin m̄ kam-guān. 	沒拿到冠軍真不甘心。	I really can't stand not winning the championship.
967	897	1248	1	天光矣，你好起來讀冊矣！	Thinn-kng--ah, lí hó khí-lâi tha̍k-tsheh--ah! 	天亮了，你該起來上學了！	It's dawn, you should get up for school!
968	898	1249	1	我囥佇桌頂的文件是啥人提去？	Guá khǹg tī toh-tíng ê bûn-kiānn sī siánn-lâng the̍h--khì? 	我放在桌上的文件是誰拿走了？	Who took the document that I put on the table?
969	902	1253	1	你對這个方向直直行就到矣。	Lí tuì tsit ê hong-hiòng ti̍t-ti̍t kiânn tō kàu--ah. 	你往這個方向直走就到了。	You will get there if you go straight in this direction.
970	904	1255	1	你工課著愛好好仔做，毋通學人做歹囝。	Lí khang-khuè tio̍h-ài hó-hó-á tsò, m̄-thang o̍h lâng tsò pháinn-kiánn. 	你工作要好好地做，不可以學人家當不良少年。	You need to do your job well, you can't imitate others to become a delinquent teenager.
971	905	1256	1	天地顛倒反	thinn-tē tian-tò-píng	天地顛倒，引申為違反常理。	The world is upside down, which is extended to mean against common sense.
972	905	1257	1	天地遐爾仔大，免驚無所在通去。	Thinn-tē hiah-ni-á-tuā, bián-kiann bô sóo-tsāi thang khì. 	世界這麼大，不用怕沒地方去。	The world is so big, there's no need to fear having nowhere to go.
973	905	1258	1	拜天地	pài thinn-tē		
974	906	1259	1	少年若無一擺戇，路邊哪有有應公。	Siàu-liân nā bô tsi̍t pái gōng, lōo-pinn ná ū Iú-ìng-kong. 	若不是因為年少輕狂的痴傻舉動，荒野路邊哪兒來那些祭拜無主冤魂的小廟呢。	If it weren't for the foolish actions of youthful recklessness, where would those small temples worshiping the unclaimed souls by the roadside in the wilderness come from?
975	906	1261	1	這个頭家猶真少年。	Tsit ê thâu-ke iáu tsin siàu-liân.	這個老闆還很年輕。	This boss is still very young.
976	908	1263	1	我無佮意伊做代誌的方式。	Guá bô kah-ì i tsò tāi-tsì ê hong-sik. 	我不喜歡他做事情的方法。	I don't like the way he does things.
977	909	1264	1	伊身體欠安，才會無來上班。	I sin-thé khiàm-an, tsiah-ē bô lâi siōng-pan. 	他因為身體不舒服，所以沒有到班。	He didn't go to work because he was not feeling well.
978	910	1265	1	烏白罵人是毋好的代誌。	Oo-pe̍h mē--lâng sī m̄ hó ê tāi-tsì. 	亂罵人是不好的事情。	Swearing at people is not a good thing.
979	910	1266	1	這件代誌毋好講出去。	Tsit kiānn tāi-tsì m̄-hó kóng--tshut-khì. 	這件事情不能說出去。	This matter cannot be spoken about.
980	912	1268	1	歹年冬厚痟人。	Pháinn-nî-tang kāu siáu-lâng. 	在不好的年頭，狂人奇事特別多。比喻怪事年年有，今年特別多。	In a bad year, there are particularly many madmen and strange events. It's a metaphor that strange things happen every year, but they are particularly numerous this year.
981	913	1269	1	恁遮的少年家毋通傷衝碰，逐項代誌攏愛想予伊較斟酌咧。	Lín tsia-ê siàu-liân-ke m̄-thang siunn tshóng-pōng, ta̍k hāng tāi-tsì lóng ài siūnn hōo i khah tsim-tsiok--leh. 	你們這些年輕小伙子不要太衝動莽撞，凡事都要仔細小心地想清楚。	You young lads shouldn't be too impulsive and reckless, think carefully about everything.
982	914	1270	1	若是一个毋好勢，代誌就去了了矣。	Nā-sī tsi̍t ê m̄ hó-sè, tāi-tsì tō khì-liáu-liáu--ah. 	若是一個不湊巧，事情就全完了。	If it wasn't for a coincidence, everything would have been over.
984	915	1272	1	手曲，屈入無屈出。	Tshiú-khiau, khut-ji̍p bô khut-tshut. 	胳臂只會向內彎，不會向外彎。比喻偏袒自己人。	The arm can only bend inward, not outward. This is a metaphor for favoring one's own people.
985	916	1273	1	彼个人真歹死。	Hit ê lâng tsin pháinn-sí. 	那個人很壞。	That person is very bad.
986	916	1274	1	伊死的時陣真歹死。	I sí ê sî-tsūn tsin pháinn-sí. 	他死的時候很痛苦。	He suffered greatly when he died.
987	917	1275	1	這毋成錢，你就收起來。	Tse m̄-tsiânn tsînn, lí tō siu--khí-lâi. 	這算不上什麼錢，你得收下。	This is not much money, you have to take it.
988	918	1276	1	伊去予彼个毋成人氣甲欲死。	I khì hōo hit ê m̄-tsiânn-lâng khì kah beh sí. 	他被那個不肖之徒氣個半死。	He was infuriated to death by that unworthy person.
989	919	1277	1	你欲騎跤踏車，手扞仔著愛扞予伊好。	Lí beh khiâ kha-ta̍h-tshia, tshiú-huānn-á tio̍h-ài huānn hōo i hó. 	你要騎腳踏車，就要把把手扶好。	If you want to ride a bicycle, you have to hold the handlebars well.
990	921	1279	1	伊是好額人，遮的零星錢對伊來講是毋成物。	I sī hó-gia̍h-lâng, tsia-ê lân-san-tsînn tuì i lâi kóng sī m̄-tsiânn-mi̍h. 	他是有錢人，這些零錢對他來說是微不足道的。	He is a wealthy man, these small changes are insignificant to him.
991	922	1281	1	毋成猴，閣會考第一名。	M̄-tsiânn-kâu, koh ē khó tē-it miâ. 	真是厲害，還會考第一名。	That's impressive, even got first place in the exam.
992	923	1282	1	少年袂曉想，食老毋成樣。	Siàu-liân bē-hiáu siūnn, tsia̍h-lāu m̄-tsiânn-iūnn. 	年輕的時候不會想，年老了就不像樣了。	When you're young, you don't think about it. When you're old, it doesn't look good.
993	924	1283	1	這馬外口的天色已經暗矣。	Tsit-má guā-kháu ê thinn-sik í-king àm--ah. 	現在外面天色已經暗了。	The sky outside is already dark now.
994	924	1284	1	天色已經無早，我欲轉去矣！	Thinn-sik í-king bô tsá, guá beh tńg--khì--ah! 	時間已經不早，我要回去了。	It's getting late, I have to go back.
995	926	1286	1	伊就是歹心行，才會受著報應。	I tō-sī pháinn-sim-hīng, tsiah-ē siū-tio̍h pò-ìng. 	他就是心腸不好，才會遭到報應。	He has a bad heart, that's why he got his comeuppance.
996	929	1289	1	醫生講伊欠血，著愛加食一寡較營養的物件。	I-sing kóng i khiàm-hueh, tio̍h-ài ke tsia̍h tsi̍t-kuá khah îng-ióng ê mi̍h-kiānn. 	醫生說他貧血，必須多吃一些比較營養的食物。	The doctor said he is anemic and needs to eat more nutritious food.
997	931	1291	1	我看伊做的歹代誌毋但按呢爾爾。	Guá khuànn i tsò ê pháinn tāi-tsì m̄-nā án-ne niā-niā. 	我看他做的壞事不只這樣而已。	I see that the bad things he did are not just this.
998	931	1292	1	伊毋但寄付錢，閣去做義工。	I m̄-nā kià-hù tsînn, koh khì tsò gī-kang. 	他不只捐錢，還去當義工。	He not only donated money, but also volunteered.
999	932	1293	1	代誌做好矣，你毋免來矣。	Tāi-tsì tsò hó--ah, lí m̄-bián lâi--ah. 	事情已經辦好了，你不用來了。	The matter has been taken care of, you don't need to come anymore.
1000	934	1296	1	厝是阿公的手尾放落來的。	Tshù sī a-kong ê tshiú-bué pàng--lo̍h-lâi-ê. 	房子是祖父遺留下來的。	The house was left by my grandfather.
1001	935	1297	1	伊月尾欲去高雄看𪜶後生。	I gue̍h-bué beh khì Ko-hiông khuànn in hāu-senn. 	他月底要去高雄看他兒子。	He is going to Kaohsiung to see his son at the end of the month.
1002	936	1298	1	我手尾力無夠，捾袂起來。	Guá tshiú-bué-la̍t bô-kàu, kuānn bē khí--lâi. 	我手掌的握力不夠，提不起來。	My grip strength is not enough, I can't lift it up.
1003	937	1299	1	遐的查埔囡仔手真賤，愛掣查某囡仔的毛尾仔。	Hia ê tsa-poo gín-á tshiú tsin tsiān, ài tshuah tsa-bóo gín-á ê mn̂g-bué-á. 	那些男孩手很賤，喜歡扯女孩的辮子。	Those boys are naughty, they like to pull girls' braids.
1004	939	1304	1	這个客戶真歹扭搦，我看你閣揣一个人佮你去好矣。	Tsit ê kheh-hōo tsin pháinn-liú-la̍k, guá khuànn lí koh tshuē tsi̍t ê lâng kah lí khì hó--ah. 	這個客戶很難搞，我看你還是再找一個人跟你去好了。	This client is difficult to deal with, I think it's better for you to find someone else to go with you.
1005	940	1305	1	伊有家己的想法，毋過毋敢開喙反抗𪜶阿爸的決定。	I ū ka-kī ê siūnn-huat, m̄-koh m̄ kánn khui-tshuì huán-khòng in a-pah ê kuat-tīng. 	他有自己的想法，但是不敢開口反抗他爸爸的決定。	He has his own thoughts, but dares not speak out against his father's decision.
1006	943	1308	1	阮兜魚櫥仔的魚仔攏反肚矣。	Guán tau hî-tû-á ê hî-á lóng píng-tōo--ah. 	我家魚缸裡的魚都死了。	All the fish in my fish tank have died.
1008	944	1310	1	彼个人的心肝真䆀，不時都想欲害人。	Hit ê lâng ê sim-kuann tsin bái, put-sî to siūnn-beh hāi--lâng. 	那個人的心腸真壞，常常都想要害人。	That person is really heartless, always wanting to harm others.
1009	944	1311	1	逐个囡仔攏是爸母的心肝仔寶貝。	Ta̍k ê gín-á lóng sī pē-bú ê sim-kuann-á pó-puè. 	每個小孩都是父母的心肝寶貝。	Every child is the apple of their parents' eyes.
1010	944	1312	1	你心肝咧想啥物我知知。	Lí sim-kuann teh siūnn siánn-mih guá tsai-tsai.	你心裡在想什麼我清楚得很。	I clearly know what you're thinking in your heart.
1011	946	1314	1	這擺的水災真嚴重。	Tsit pái ê tsuí-tsai tsin giâm-tiōng. 	這次的水災很嚴重。	This flood is very serious.
1012	947	1315	1	你這馬當咧心狂火著，千萬毋通做決定。	Lí tsit-má tng-teh sim-kông-hué-to̍h, tshian-bān m̄-thang tsò kuat-tīng. 	你現在正火冒三丈，千萬不要做決定。	You are extremely angry right now, absolutely do not make decisions.
1013	948	1316	1	我心肝仔囝的。	Guá sim-kuann-á-kiánn--ê. 	我的心肝寶貝。	My sweetheart.
1014	950	1318	1	我的心肝窟仔當咧疼。	Guá ê sim-kuann-khut-á tng-teh thiànn. 	我的胸口正在痛。	My chest is hurting.
1015	951	1319	1	這个囡仔真歹育飼。	Tsit ê gín-á tsin pháinn-io-tshī. 	這個小孩子很難扶養。	This child is hard to raise.
1016	954	1322	1	今仔日佇高速公路發生一件反車的意外。	Kin-á-ji̍t tī ko-sok kong-lōo huat-sing tsi̍t kiānn píng-tshia ê ì-guā. 	今天在高速公路上發生一件翻車的意外。	An accident involving a vehicle overturning occurred on the highway today.
1017	955	1323	1	伊是一个無天良的人。	I sī tsi̍t ê bô-thian-liông ê lâng. 	他是一個沒良心的人。	He is a person without conscience.
1018	957	1326	1	這款工課恁文身的根本都做袂來。	Tsit khuán khang-khuè lín bûn-sin--ê kin-pún to tsò bē lâi. 	這種工作你們斯文的人根本做不來。	People like you, who are refined, simply can't do this kind of job.
1019	958	1327	1	宜蘭、鹿港的方言真有特色。	Gî-lân Lo̍k-káng ê hong-giân tsin ū ti̍k-sik. 	宜蘭、鹿港的方言很有特色。	The dialects of Yilan and Lukang are very distinctive.
1020	959	1330	1	踏水車	ta̍h tsuí-tshia		
1021	962	1333	1	你若毋較拍拚咧，連鞭就無法度佮人比並。	Lí nā m̄ khah phah-piànn--leh, liâm-mi tō bô-huat-tōo kah lâng pí-phīng. 	你要是不努力一點，馬上就比不上人家。	If you don't work a little harder, you'll immediately fall behind others.
1022	962	1334	1	人若予人比並做精牲就足毋值矣！	Lâng nā hōo lâng pí-phīng tsò tsing-senn tō tsiok m̄-ta̍t--ah! 	人要是被比喻成畜牲就很不值了！	It's really demeaning if a person is compared to a beast!
1023	963	1335	1	我規暝反來反去睏袂去。	Guá kui-mê píng-lâi-píng-khì khùn bē khì. 	我整晚翻來覆去睡不著。	I tossed and turned all night and couldn't sleep.
1024	963	1336	1	伊講話按呢反來反去，毋知伊到底是欲按怎。	I kóng-uē án-ne píng-lâi-píng-khì, m̄ tsai i tàu-té sī beh án-tsuánn. 	他講話總是這樣翻來覆去，不知道他究竟想怎樣。	He always speaks in such a roundabout way, I don't know what he really wants.
1025	966	1339	1	阿英仔誠歹命，自細漢爸母就過身矣。	A-ing--á tsiânn pháinn-miā, tsū sè-hàn pē-bú tō kuè-sin--ah. 	阿英很苦命，從小父母就過世了。	Ah Ying is very unfortunate, her parents passed away when she was young.
1026	967	1340	1	毛呼龜粿粽，紅包隨你送。	Môo-honn ku kué tsàng, âng-pau suî lí sàng. 	中元食品多的是，紅包隨便你多少好了。譏笑和尚在中元普渡時亂誦經。	There are plenty of food offerings during the Hungry Ghost Festival, and the amount of red envelopes is up to you. It's ridiculed that monks recite scriptures randomly during the Universal Salvation ceremony in the festival.
1027	970	1343	1	有緣才會當做夫妻，恁就莫閣冤矣啦！	Ū-iân tsiah ē-tàng tsò hu-tshe, lín tō mài koh uan--ah--lah! 	有緣份才可以成為夫妻，你們倆就別再爭吵了！	Only those who are destined can become husband and wife, so you two should stop arguing!
1028	973	1347	1	伊真歹性地，磕袂著就欲共人罵。	I tsin pháinn-sìng-tē, kha̍p-bē-tio̍h tō beh kā lâng mē. 	他的脾氣很壞，動不動就要罵人。	His temper is very bad, he always wants to scold people at the slightest provocation.
1029	974	1348	1	你著愛紮雨傘去，毋拄好落雨就用會著。	Lí tio̍h ài tsah hōo-suànn khì, m̄-tú-hó lo̍h-hōo tō īng ē tio̍h. 	你要帶雨傘去，萬一下雨就用得到。	You should bring an umbrella, just in case it rains and you need it.
1030	974	1349	1	我今仔日人毋拄好。	Guá kin-á-ji̍t lâng m̄-tú-hó. 	我今天人不舒服。	I am not feeling well today.
1031	979	1354	1	比武招親是歌仔戲才有的齣頭。	Pí-bú tsio-tshin sī kua-á-hì tsiah ū ê tshut thâu. 	比武招親是歌仔戲才有的把戲。	Martial arts competition for marriage is a trick only found in Taiwanese opera.
1032	980	1355	1	歹物毋通買。	Pháinn-mi̍h m̄ thang bé. 	不好的東西不要買。	Don't buy bad things.
1033	980	1356	1	聽講彼間厝有歹物。	Thiann kóng hit-king tshù ū pháinn-mi̍h. 	聽說那間房子有凶物。	I heard that there is something evil in that house.
1034	981	1357	1	我跤底生一粒水疱。	Guá kha-té senn tsi̍t lia̍p tsuí-phā. 	我的腳底長一顆水泡。	I have a blister on the bottom of my foot.
1035	985	1362	1	好空的毋來，歹空的相爭報。	Hó-khang--ê m̄ lâi, pháinn-khang--ê sio-tsenn pò. 	好事不來，壞事爭著來告知。	Good things don't come, bad things rush to inform.
1036	985	1363	1	彼間厝誠歹空。	Hit king tshù tsiânn pháinn-khang. 	那間房子有鬼。	That house is haunted.
1037	986	1364	1	你問我的代誌我攏毋知，你去問別人。	Lí mn̄g guá ê tāi-tsì guá lóng m̄ tsai, lí khì mn̄g pa̍t-lâng. 	你問我的事我都不知道，你去問別人。	I don't know anything about what you're asking me, go ask someone else.
1038	987	1365	1	伊予車挵一下毋知人。	I hōo tshia lòng tsi̍t-ē m̄-tsai-lâng. 	他被車子撞得不醒人事。	He was hit by a car and knocked unconscious.
1039	988	1366	1	人欲來揣你算數矣，你閣毋知死。	Lâng beh lâi tshuē lí sǹg-siàu--ah, lí koh m̄-tsai-sí. 	別人要來找你算帳了，你還不知死活。	Someone is coming to settle scores with you, and you're still oblivious.
1040	989	1367	1	逐家攏毋知影伊走去佗位。	Ta̍k-ke lóng m̄ tsai-iánn i tsáu khì tó-uī. 	大家都不知道他跑到哪裡去了。	No one knows where he has gone.
1041	993	1371	1	阮這个庄頭的交通真無方便。	Guán tsit ê tsng-thâu ê kau-thong tsin bô hong-piān. 	我們這個村莊的交通很不便利。	The transportation in our village is very inconvenient.
1042	993	1372	1	予人客方便，人客才會愛來。	Hōo lâng-kheh hong-pian, lâng-kheh tsiah ē ài lâi. 	讓客人方便，客人才會想來。	Make it convenient for the guests, then the guests will want to come.
