id	stg_wiki_id	text_nan_poj
67	67	Kè-khì tī Tiong-kok Chheng-tiâu ê sî-tāi, Se-iûⁿ lâng kā Bân-lâm-gú kiò-chòe. Tī tang-lâm-a, Bân-lâm-gú hō͘-lâng kiò-chòe “Hokkien”, tī Tâi-ôan kiò-chò Ho̍h-ló-ōe, Tâi-oân-oē, Tâi-gú. Tī Hiong-káng mā kiò.
68	68	Bân-lâm-gú hoat-gôan-toē si Hok-kiàn lâm-pō͘ ê Ē-mn̂g, Chiang-chiu kah Chôan-chiu chit saⁿ ê só͘-chāi.
69	69	Ē-mn̂g-ōe kah Tâi-ôan-ōe hō͘ lâng kong-jīn sī Bân-lâm-gú ê phiau-chún. Tī Hái-lâm, iōng Bûn-chhiong-oē chòe tāi-piáu.
70	70	Hō-miâ
71	71	Kóng--khí-lâi sī kāng chi̍t chióng gú-giân, put-jî-kò tī bô-kâng ê hiuⁿ-lí, hōan-sè to̍h ū bô-kâng ê miâ-chheng. Hiān-chú-sî, tī Hok-kiàn, lâng thàu-té kā kiò-chòe “Bân-lâm-gú / Bân-lâm-ōe”, ū-tang-sî-á ka-kī lâng tùi ka-kī lâng mā kóng “Lán-lâng-ōe”. Tī Tang-lâm-a, thàu-té kā kiò-chòe Hok-kiàn-ōe, m̄-koh tiàm Hui-lu̍t-pin mā chhêng-chāi ū leh kóng “Lán-chhù-ōe”. Tâi-ôan ê kóng-hoat siōng-kài chōe, ū “Tâi-gí”, “Ho̍h-ló-ōe”, “Bân-lâm-gí” chōe-chōe chióng. Tong-jiân, kāng-khóan mā-sī ū lâng kóng “Lán-chhù-ōe”.
72	72	Tâi-oân ū chē-chē lâng jīn-ûi Tâi-gí m̄-sī Bân-lâm-gí. In jīn-ûi hiān-chú-sî ê Tâi-gí hām Hok-kiàn Bân-lâm-gí sī nn̄g chióng bô siô-siâng ê gí-giân. Chú-tiuⁿ chit-hāng koan-tiám ê lí-iû sī:
73	73	Tâi-gí í-keng lām-chham tio̍h chiâⁿ chōe gōa-lâi gí-giân, te̍k-pia̍t sī Ji̍t-pún-oē ê gí-sû.
74	74	Hok-kiàn-oē kòe Tâi-oân saⁿ-sì-pah tang--ah. Tâi-oân-oē ti̍t-thàu leh piàn-hòa, piàn kah chham Hok-kiàn bô siô-siâng.
75	75	Bōe-chió chú-tiuⁿ Tâi-oân to̍k-li̍p kiàn-kok ê lâng àn chèng-tī ê kak-tō͘ leh khó-lū. In kiông-tiāu Tâi-oân hôan Tâi-oân, Tiong-kok hôan Tiong-kok; hî hôan hî, hê hôan hê, ài pun chheng-chhó.
76	76	Kó͘ Hàn-gú ê sêng-hun
77	77	Chú-im
78	78	Bân-lâm-gú ê chú-im ti̍t-chiap kè-sêng Siōng-kó͘ Hàn-gú ê siaⁿ-bó hē-thóng, tī chit hong-bīn lâi kóng, Bân-lâm-gú pēng bô siū-tio̍h Tiong-kó͘ sî-kî Hàn-gú-hē gú-im ián-piàn ê éng-hiáng. Hiān-chú-sî, lâng phó͘-piàn jīn-ûi Siōng-kó͘ Hàn-gú ū 19 ê siaⁿ-bó. Àn-chiàu thôan-thóng ê Bân-lâm-gú si̍p-ngó͘-im lâi hun-sek, hoat-hiān Bân-lâm-gú ê siaⁿ-bó ū 15 ê, iā-to̍h-sī kóng Siōng-kó͘ Hàn-gú 19 ê, Bân-lâm-gú kā pó-liû 15 ê.
79	79	Siōng-kó͘ Hàn-gú ū chi̍t-kóa-á te̍k-tiám:
80	80	Chiah-ê tiōng-iàu ê kó͘-tāi Hàn-gú gú-im hiān-siōng, Bân-lâm-gú kā pó-chûn kah chiâⁿ hó-sè, taⁿ lâi tùi-èng téng-kôan Siōng-kó͘ Hàn-gú ê te̍k-tiám, chi̍t-tiâu chi̍t-tiâu lâi hun-sek:
81	81	Bân-lâm-gú kā hui-chó͘ kah pang-chó͘ tha̍k kāng im, pí-lūn kóng “飛” tha̍k, “蓬” tha̍k, “吠” tha̍k, “微” tha̍k;
82	82	Ti-chó͘ Bân-lâm-gú ê tha̍k-hoat hām toan-chó͘ sio-siâng, pí-lūn “豬” tha̍k, “醜” tha̍k, “程” tha̍k;
83	83	Bân-lâm-gú kā chiâⁿ chōe chiong-chó͘ ê jī tha̍k chòe kah toan-chó͘ kāng-khóan, chhan-chhiūⁿ “唇” tha̍k, “振” tha̍k, “召” tha̍k, “注” tha̍k.
84	84	Bó-im kah siaⁿ-tiāu
85	85	Bân-lâm-gú ê bó-im kah siaⁿ-tiāu thé-hiān Tiong-kó͘-im ê te̍k-tiám. Bó-im lâi kóng, Bân-lâm-gú ôan-chéng pó-chûn Tiong-kó͘-im 6 ê hú-im-ūn ūn-bóe, kî-tiong sī sat-im, sī phīⁿ-im.
86	86	Siaⁿ-tiāu hong-bīn, Tiong-kó͘-im “piâⁿ, sióng, khì, ji̍p”' pun im-iông ê te̍k-tiám chôan-pō͘ tī Bân-lâm-gú lāi-té tit-tio̍h thé-hiān. Chiang-chiu-khiuⁿ ū “im-piâⁿ, im-sióng, im-khì, im-ji̍p, iông-piáⁿ, iông-khì, iông-ji̍p” 7 ê tiāu; Chôan-chiu-khiuⁿ ū iông-sióng-tiāu.
87	87	Sû-gú
88	88	Chit-chūn Bân-lâm-gú ê sû-gí ū chiâⁿ chōe sio̍k-î Kó͘-Hàn-gú ê sêng-hūn, siōng kó͘-chá ē-tàng khan khì kàu Chhun-Chhiu, Chiàn-kok ê nî-tāi, pí-lūn kóng Bân-lâm sio̍k-gú “Ji̍t--sî cháu-phā-phā, àm--sî tiám teng-la̍h.” Chit lāi-tóe ê “la̍h” to̍h-sī hit-ê sî-tāi ê giân-gí. Si-keng Siáu-ngá Sìn-lâm-san: “Chip kî loân to, í khé kî mô͘, chhú kî hiat liâu.” Koh pí-lūn kóng “saⁿ-khò͘”, “lâng-kheh”, “thàn-chîⁿ”, “bîn-chhn̂g”, “chiaⁿ-bah”, “kún-chúi” téng-téng lóng-sī Tông, Sòng í-lâi Kó͘-Hàn-gú ê iōng-sû.
89	89	Bân-lâm-gú chi̍t-kóa-á kò͘-sû ê hong-sek hām hiān-tāi Hôa-gú tú-hó tian-tò-péng, put-jî-kò soah hām Kó͘-Hàn-gú sio-siâng, chhan-chhiūⁿ “ah-bó”, “hong-thai”, “lâng-kheh”, “chhin-tông”, “kha-chhiú”.
90	90	Hàn-jī ê bûn-pe̍h ī-tho̍k
91	91	Tī Hàn-gú-hē kok gú-giân tong-tiong, beh kóng “bûn-pe̍h ī-tho̍k” ê hiān-siōng, Bân-lâm-gú iāng ho̍k-cha̍p. “Bûn” to̍h-sī “bûn-tho̍k-im”, a̍h-sī kóng “tha̍k-chheh-im”. “Pe̍h” tāi-piáu “kháu-gí-im” a̍h-sī “pe̍h-ōe-im”. Bân-lâm-gú ê “tha̍k-chheh-im” kah “kháu-gí-im” ē-sái kóng sī nn̄g ê hō͘-siong tùi-èng ê hē-thóng. Bûn-pe̍h hē-thóng ê hêng-sêng sī chi̍t-tōaⁿ chin-chiàⁿ ho̍k-cha̍p ê le̍k-sú kòe-thêng. Bân-lâm-gú ê bûn-pe̍h ī-tho̍k, kú-lē jû-hā:
92	92	Kó͘-tāi Bân-oa̍t-gú ê sêng-hun
93	93	Bân-lâm-gú ê hêng-sêng sī kó͘-tāi Tiong-gôan Hàn-gú hām kó͘-tāi Bân-oa̍t-cho̍k gú-giân sio-thàu-lām ê kòe-thêng. Hiān-chú-sî, Bân-lâm-gú lāi-té iu-gôan koh pó-liû tio̍h chōe-chōe kó͘-tāi Bân-oa̍t-gú ê sêng-hūn, pí-lūn kóng “ka-cháu”, “ka-cho̍ah”, “ka-lēng”, “tō͘-kâu”, “tō͘-ún”, “káu-hiā”, “ka-lún-sún”, “phah-kha-chhiùⁿ”, “tio̍h-ka-cha̍k”.
94	94	Gōa-lâi-gú ê chioh-sû
95	95	Ùi Tông-tiâu ê sî-tāi khai-sí, Chôan-chiu to̍h hoat-tián chiâⁿ-chòe "tang-hong tē-it tōa-káng", kó͘-tāi Hái-siōng Si-tiû chi Lō͘ ê khí-tiám tī Chôan-chiu. Chhú-khì, Bân-lâm chit-tah hām Tiong-tang, Tang-lâm-a ê lâi-óng ke-chiâⁿ chia̍p. Kòe-hoan ê hoan-kheh chiong gōa-hiuⁿ ê gí-giân chah tńg-lâi Hok-kiàn, nî-kú-go̍eh-chhim, ū ê gōa-lâi-gú ê gí-sû soah lām-lo̍h Bân-lâm-gú, chiâⁿ-chòe Bân-lâm-gú ê chi̍t-pō͘-hūn. Chit-khóan--ê, pí-lūn “sat-bûn”, “pa-sat”, “chi-ku-la̍t”, “chu-lu̍t”, “phia̍t-á”, “tōng-kak”, “si̍p-pán-á”, “ba̍k-thâu”, “àu-sài”, “te̍k-sî”, “pa-sū”, “má-tih”, “gō͘-kha-kī”, “ka-po̍k / ka-pò͘-mî”, “ko-pi” téng-téng.
96	96	Tâi-ôan Bân-lâm-gú ū koh-khah chē ê gōa-lâi-gí chioh-sû, kî-tiong siōng chē--ê sī Ji̍t-gí chioh-sû, pí-lūn kóng: “o͘-tó͘-bái”, “khí-mo͘-chih”, “chu-ná-mih”, “tò-sàng”, “sa-sí-mih”. Che í-gōa, ôan-á ū khip-siu chi̍t-kóa Pêⁿ-po͘-cho̍k-gí kah kî-thaⁿ gōa-gí ê sêng-hūn.
97	97	Phèng-im ê hē-thóng
98	98	Múi chi̍t-chióng jîn-lūi gú-giân lóng ū ka-tī ê im-phiau hē-thóng. Bo̍k-chiân, múi chi̍t-chióng gú-giân ê im-phiau hē-thóng lóng sú-iōng hû-hō lâi kì-lio̍k. Ū-ê gú-giân ê im-phiau hē-thóng siâng-sî chûn-chāi kúi-nā-chióng phèng-im hû-hō, pí-lūn kóng Bân-lâm-gú.
99	99	Sè-kài kok-tē ê ha̍k-chiá tùi “phèng-im hû-hō” ê lōe-hâm ū bô kāng-khóan ê lí-kái. Ū-ê lâng chú-tiuⁿ kā phèng-im hû-hō tòng-chòe bûn-jī lâi khòaⁿ-thāi, put-jî-kò mā ū lâng hóan-tùi.
100	100	Tâi-ôan ū chiâⁿ chē gú-giân ha̍k-chiá chú-tiuⁿ Bân-lâm-gí phèng-im hû-hō mā sī bûn-jī, pí-lūn kóng Pe̍h-oē-jī to̍h-sī tang-tiong ê chi̍t-chióng.
101	101	Ēng Pe̍h-ōe-jī chò im-phiau
102	102	Àn-chiàu le̍k-sú ê kak-tō͘ lâi khòaⁿ, Pe̍h-oē-jī chêng-kàu-taⁿ lóng sī hō͘-lâng tòng-chò bûn-jī teh sú-iōng. Chí-put-kò, Pe̍h-oē-jī oân-á kū-pī phèng-im ê kong-lêng, só͘-í ū-sî Pe̍h-oē-jī iū-koh pān-ián tio̍h im-phiau ê kak-sek. Koan-hē Pe̍h-ōe-jī ê im-phiau hē-thóng chhiáⁿ chham-khòaⁿ Ē-mn̂g-ōe gú-im hē-thóng chit-phiⁿ.
103	103	Tâi-ôan ê Bân-lâm-gú im-phiau
104	104	Taⁿ Bân-lâm-gú ê im-phiau siāng-chió chhiau-kòe 64 chióng (Iûⁿ Ún-giân, Tiuⁿ Ha̍k-khiam, 1999 nî), ē-sái kóng sī pah-pah-khóan. Ū-ê iōng chù-im hû-hō, ū-ê iōng Khá-nah, ū-ê iōng Hangeul. Ah siāng-kài chē--ê sī sú-iōng Lô-má-jī. Chóng--sī, bo̍k-chiân lóng iáu-bōe thóng-it. Chōe-chōe chióng phèng-im tang-tiong, siāng-kài sî-kiâⁿ, sú-iōng jîn-kháu siāng-kài chē--ê sī Tâi-lô, Pe̍h-ōe-jī (Kàu-hōe Lô-má-jī), TLPA kah Tong-iōng Phèng-im.
105	105	Pí-kàu
106	106	Pe̍h-ōe-jī: chhiáⁿ chham-khó Pe̍h-ōe-jī chit-phiⁿ bûn-chiuⁿ.
107	107	TLPA (Tâi-gú Im-phiau Hong-àn, tha̍k-chòe “Tho͘-lú-pà”)
108	108	1991 nî 8 go̍eh 17 hō, ha̍k-chiá Âng Ûi-jîn, Tiuⁿ Jū-hông, Táng Tiong-su saⁿ lâng chhōa-thâu sêng-li̍p Tâi-ôan Gú-bûn Ha̍k-hōe. Bô lōa kú liáu-āu, Tâi-ôan Gú-bûn Ha̍k-hōe tī Pe̍h-ōe-jī im-phiau hē-thóng ê ki-chhó͘ siōng chè-tēng chhut chi̍t-thò sin ê Tâi-gí Im-phiau, hō-miâ “Tâi-gú Im-phiau Hong-àn”.
109	109	Beh chè-tēng TLPA ê gôan-in sī:
110	110	(1) Tâi-gí im-phiau ū chin chōe thò, chó͘-gāi Tâi-ôan gú-giân ê ha̍k-si̍p kah hoat-tián;
111	111	(2) Pe̍h-ōe-jī bô ôan-chôan sek-ha̍p tiān-náu.
112	112	TLPA hām POJ siōng chú-iàu ê chha-pia̍t sī:
113	113	TLPA kong-pò͘ liáu-āu, tī Tâi-ôan Bân-lâm-gí-kài ín-khì chin tōa ê hong-pho, chō-chiâⁿ TLPA ê chi-chhî-chiá hām POJ chi-chhî-chiá nn̄g phài chi-kan tn̂g-kî lâi leh tùi-khòng.
114	114	Thong-iōng Phèng-im
115	115	Hok-kiàn ê Bân-lâm-gú phèng-im hong-àn
116	116	Hok-kiàn Bân-lâm, oân-á sī siāng chá sî-kiâⁿ Pe̍h-ōe-jī ê só͘-chāi chi-it. Chit hong-bīn ê sìn-sit chhiáⁿ chham-khòaⁿ Bân-lâm-gí Pe̍h-ōe-jī ê le̍k-sú. Kàu kah hiān-chú-sî ûi chí, tī Bân-lâm bîn-kan ê kàu-tn̂g, ôan-á iáu-koh ū lâng teh sú-iōng Pe̍h-ōe-jī, put-jî-kò lâng-sò͘ í-keng bô chōe--ah.
117	117	Phó͘-Bân-sek: Ē-mn̂g Tāi-ha̍k Tiong-kok Gú-giân-bûn-ha̍k Gián-kiù-só͘ Hàn-gú-hong-giân Sek tī 1982 nî pian-siá chi̍t-pún miâ hō͘-chòe “Phó͘-thong-ōe Bân-lâm Hong-giân Sû-tián” ê tù-chiok. Chit-pún sû-tián só͘ chhái-iōng ê lô-má phèng-im hong-àn, kán-chheng “Phó͘-Bân-sek”. Lō͘-bé it-ti̍t hō͘ Tiong-kok Tāi-lio̍k ê chit-pō͘-hūn ha̍k-chiá the̍h-lâi sú-iōng.
118	118	Put-jî-kò, Tī Tiong-kok Tāi-lio̍k, tùi Bân-lâm-gí lâi kóng, siāng-kài chē lâng sú-iōng ê im-phiau, sī Kok-chè Im-piau.
119	119	Bûn-jī kap su-siá
120	120	Chá-kî ê Bân-lâm-gú bûn-ha̍k
121	121	Tiong-kok kó͘-tāi Hàn-gú bûn-ha̍k, thàu-té sī Khóng-chú-jī ê bûn-hiàn chiàm cho̍at-tùi ê iâⁿ-bīn, iah nā sio̍k-î pe̍h-ōe-bûn ê Tn̂g-lâng-jī, to̍h chiâⁿ hán-tit the̍h lâi chòe bûn-ha̍k chhòng-chok. It-ti̍t kàu kah Bêng, Chheng ê sî-tāi, chiah khah chia̍p ū leh khòaⁿ tio̍h thong-sio̍k ê kháu-gú siáu-soat, pí-lūn Tiong-kok ê kó͘-tián sù tāi bêng-chok to̍h-sī chit-ê sî-kî ê chok-phín. Tī chit-chióng khôan-kéng kah pōe-kéng chi-hā, siōng chá ê Bân-lâm-gú bûn-ha̍k chok-phín Lē-kiàⁿ-kì chhut-pán, pēng-chhiáⁿ tī Chôan-chiu kah Tiô-chiu chit-tah chiâⁿ-chòe kài sî-kiâⁿ ê hì-bûn. Put-jî-kò si̍t-chāi kóng, Lē-kiàⁿ-kì iáu-koh m̄-sī chin-chin-chiàⁿ-chiàⁿ ê Bân-lâm-gú bûn.
122	122	Siōng-kài ē-tàng tāi-piáu chá-kî Bân-lâm-gú bûn-jī--ê sī kì-chài Chôan-chiu lâm-kóan gē-su̍t ê ga̍k-phó͘ kah lō͘-bóe kì-chài koa-á-hì hì-bûn ê koa-á-chheh.
123	123	20 sè-kì téng-pòaⁿ-tōaⁿ ê Bân-lâm-gú-bûn ūn-tōng
124	124	Se-gôan 20 sè-kì ê chá-kî kah tiong-kî, Tâi-ôan khì hō͘ Ji̍t-pún si̍t-bîn thóng-tī. Hit-tong-sî, chi̍t-kóa-á Tâi-ôan chāi-tōe ê bûn-ha̍k jîn-sū hoat-kak tio̍h pún-thó͘ gú-giân ê tiōng-iàu. In ho͘-iok Tâi-ôan chāi-tōe-lâng to̍h-ài iōng “siōng-kài chhin-chhiat ê Tâi-ôan-ōe lâi chhòng-chok Tâi-ôan ê bûn-ha̍k”. Put-jî-kò in-ūi Ji̍t-pún si̍t-bîn chèng-hú ūi-tio̍h thui-hêng hông-bîn-hòa ūn-tōng, soah chôan-bīn kìm-chí tī Tâi-ôan sú-iōng Hàn-bûn, tì-sú tú leh puh-íⁿ ê hiong-thó͘ bó-gú bûn-ha̍k ūn-tōng soah chôaⁿ chhàu-ta o͘-áu khì. Chit-ê sî-kî, thui-sak hiong-thó͘ bó-gú bûn-ha̍k ūn-tōng ê tāi-piáu jîn-bu̍t, chú-iàu pau-koat: Liân Un-kheng, Liân Ngá-tông, N̂g Se̍k-hui, Keh Chhiu-seng.
125	125	1970 nî-tāi ê Bân-lâm-gú-bûn ūn-tōng
126	126	Tū Kok-bîn-tóng chèng-hú soan-pò͘ kái-giâm liáu-āu, Tâi-ôan ê Bân-lâm-gú-bûn chhòng-chok chôaⁿ hiông-hiông sî-kiâⁿ--khí-lâi, chiâⁿ-chōe chok-ka kah ha̍k-chiá mā lóng ka-ji̍p “Bân-lâm-gú-bûn chhòng-chok” chit-ki tūi-ngó͘. Iú-koan chu-liāu ê kì-chài hián-sī, chit-tīn lâng tang-tiong khah chú-iàu--ê sī: Lîm Gím-hiân, Lîm Chong-gôan, N̂g Kèng-liân, Lîm Iong-bín, Âng Ûi-jîn, Tēⁿ Liông-úi, Tân Bêng-jîn, Tō͘-Phoaⁿ Hong-keh, Ngô͘ Siù-lē, Lí Khîn-hōaⁿ téng-téng.
127	127	Bân-lâm-gú-bûn ê su-siá hē-thóng
128	128	Bân-lâm-gú sī Hàn-cho̍k gí-giân ê chi̍t-chió̍ng. I ê su-siá hē-thóng hām Hiān-tāi Hàn-gú Pe̍h-ōe-bûn ôan-chôan bô sio-siâng. Bân-lâm-gú ê su-siá hē-thóng siá--ê sī Bân-lâm-gú pe̍h-ōe-bûn, mā-sī kháu-gú. Bân-lâm-gú pe̍h-ōe-bûn ū-tang-sî-á kán-chheng hō͘-chòe “Bân-lâm-gú-bûn”. Tâi-ôan khah chia̍p kóng chòe “Tâi-gí-bûn”.
129	129	Siá Bân-lâm-gú-bûn, chhái-iōng tó-chi̍t-chióng bûn-jī--leh? Si̍t-chāi kóng, chit-ê būn-tôe tī bú-gú-kài kàu taⁿ pēng bô kiōng-sek, jî-chhiáⁿ chit hong-bīn ê khang-khè chú-iàu mā kan-na sī Tâi-ôan-lâng teh chòe. Tī Tâi-ôan, Bân-lâm-gú ê su-siá, chú-iàu ū:
130	130	Chôan-pō͘ iōng Hàn-jī, kán-chheng “chôan-Hàn”.
131	131	Chôan-pō͘ iōng Lô-má-jī, kán-chheng “chôan-Lô”.
132	132	Hán-jī kah Lô-mā-jī tâng-chê iōng, thàu-lām chòe-chi̍t-ē. Kūn-kù kok lâng siá-jī ê hong-keh kah si̍p-kòan bô kāng-khóan, ē-sái pun-chò “phian-Hàn” kah “phian-Lô”.
133	133	Kî-thaⁿ ê hong-sek, pí-lūn: Chù-im, Khá-nah, Hangeul téng-éng.
134	134	Chóng--sī, hiān-chú-sî, Tâi-ôan Bân-lâm-gú ê su-siá ôan-á iáu-bē ta̍t-sêng thóng-it ê ì-kiàn, phài-hē chiâⁿ chōe, khó-pí chi̍t-iūⁿ bí chhī phah-iūⁿ lâng, hō͘ lâng khòaⁿ kah bū-sahⁿ-sahⁿ koh hoe-kô-kô. Put-jî-kò, chêng 1990 nî-lâi í-lâi, chú-tiuⁿ kiâⁿ chôan-Lô lō͘-sòaⁿ ê siaⁿ-soeh kài tōa, tang-tiong siāng hiáⁿ-ba̍k--ê sī Pe̍h-ōe-jī-bûn. Chi-chhî-chiá kái-soeh kóng chôan-Lô khí-bé ū ē-kha ê iu-tiám, sī Hán-jī a̍h-sī kî-thaⁿ hêng-sek ê bûn-jī hû-hō bô hoat-tō͘ thang pí-phēng--ê:
135	135	Siāng hong-piān kah pa̍t-chióng kāng-khóan sú-iōng Lô-má-jī ê gú-bûn chìn-hêng ko͘-thong;
136	136	Lô-má-jī sī piáu-im bûn-jī, ē-tàng chún-khak lâi phiau-sī kah kì-lio̍h gú-im;
137	137	Ū tiān-niáu chhù-lí hong-bīn ê iu-sè; put-jî-kò hiān-chú-sî tùi Bân-lâm-gí Lô-má-jī lâi kóng, chit khoán ê "iu-sè" put chhûn-chāi, in-ūi Bân-lâm-gí Lô-má-jī tī chit hong-bīn tú-chiah leh khí-pō͘ niâ, iáu koh m̄-sī chin sêng-se̍k, iáu goân ū bē-chió khiàm-tiám tī-leh.
138	138	Sú-iōng chôan-Lô ē-tàng thiat-tóe thoat-lī Hàn-jī ê sok-pa̍k.
139	139	Chi-chhî thoat-Hàn--ê koh ū nn̄g chióng bô kâng koan-tiám ê lâng. Chi̍t chióng jīn-ûi beh thoat-Hàn sī in-ūi Hàn-jī bô-kàu iōng, hāu-ek kē, chiâⁿ lióng-kong. Lēng-gōa chi̍t chióng chú-tioⁿ chí-ū thoat-Hàn chiah ē-tàng hō͘ Tâi-ôan tī bûn-hòa siōng ôan-chôan lâi kah Tiong-kok chhé hō͘-i lī-lī-lī.
140	140	Bo̍k-chiân, Tâi-ôan Bân-lâm-gú-bûn ê su-siá, khah sêng-kong--ê pau-koat:
141	141	(1) Chit-kòa-á chhái-iōng chôan-Lô a̍h-sī Hàn-Lô ê khan-bu̍t, pí-lūn kóng Tâi-bûn Thong-sìn, Tâi-bûn Bóng-pò téng-téng;
142	142	Bāng-chām, chhan-chhiūⁿ ôan-chôan chhái-iōng POJ ê Bân-lâm-gí Wikipedia kah i ê chí-bē sū-kang téng-téng.
143	143	Tān-sī iōng choân-Lô iah-sī phian-Lô ê bûn-jī su-siá, e̍k chō-sêng kóng Bân-lâm-gí ê bîn-chiòng khòaⁿ-bô, piàn-sêng chi̍t-chióng chū-ngô͘ ê hong-hoat, hō͘ ta̍k-ke khòaⁿ-bô ê bûn-thé ê hoat-tián sī khah khùn-lân ê.
